trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.005, 'e': 0.944410309632643}",20,8,-62.56155444373474,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.005, 'e': 0.9427546655283462}",25,9,-71.77254076278112,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.005, 'e': 0.941075452606513}",20,0,-125.42618192334723,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
70,False,"{'a': 0.005, 'e': 0.9393727128473789}",30,0,-88.97630164520572,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.9376464888193493}",25,0,-127.34385354386843,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
72,False,"{'a': 0.005, 'e': 0.9358968236779348}",25,0,-131.99056447341545,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.9341237611646731}",25,0,-124.93963236212676,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
74,False,"{'a': 0.005, 'e': 0.9323273456060345}",20,7,-89.74129503819181,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.005, 'e': 0.9305076219123143}",25,0,-58.631725138570374,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.005, 'e': 0.9286646355765102}",25,0,-178.67336629049913,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
77,False,"{'a': 0.005, 'e': 0.9267984326731847}",25,0,-99.06505520664275,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.005, 'e': 0.9249090598573131}",30,0,-127.17727280696108,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 0.005, 'e': 0.9229965643631173}",25,0,-71.4665036440633,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.005, 'e': 0.9210609940028851}",25,0,-102.53136586989997,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
81,False,"{'a': 0.005, 'e': 0.9191023971657747}",25,0,-67.96702403277564,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.005, 'e': 0.9171208228166051}",20,0,-180.69514813321723,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
83,False,"{'a': 0.005, 'e': 0.9151163204946318}",20,0,-200.42141286461847,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
84,False,"{'a': 0.005, 'e': 0.9130889403123083}",20,0,-40.25567193299585,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.005, 'e': 0.9110387329540337}",35,0,-248.71796554300445,"{0: 18, 1: 4, 2: 9, 3: 0, 4: 4}",0
86,False,"{'a': 0.005, 'e': 0.9089657496748851}",25,0,-0.531241122689907,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.005, 'e': 0.9068700422993367}",25,0,-86.63271499614365,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
88,False,"{'a': 0.005, 'e': 0.9047516632199634}",20,0,-41.22867444289928,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.005, 'e': 0.9026106653961321}",25,17,2.858983095456585,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.005, 'e': 0.9004471023526769}",20,0,-100.35258860183032,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
91,False,"{'a': 0.005, 'e': 0.8982610281785611}",20,0,-103.13554804561734,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.005, 'e': 0.8960524975255252}",20,0,-149.0316844610643,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
93,False,"{'a': 0.005, 'e': 0.8938215656067205}",35,4,-47.37281405502354,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 1}",1
94,False,"{'a': 0.005, 'e': 0.891568288195329}",20,6,-18.005347543558116,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.005, 'e': 0.8892927216231682}",25,0,-87.19035872323762,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
96,False,"{'a': 0.005, 'e': 0.8869949227792842}",20,0,-140.7596075133329,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
97,False,"{'a': 0.005, 'e': 0.8846749491085283}",25,0,-102.31708185232432,"{0: 17, 1: 5, 2: 0, 3: 1, 4: 2}",0
98,False,"{'a': 0.005, 'e': 0.8823328586101215}",30,0,-92.66773956711515,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.005, 'e': 0.8799687098362042}",25,0,-40.058858204377934,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.005, 'e': 0.8775825618903728}",25,0,-170.40927873193286,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
101,False,"{'a': 0.005, 'e': 0.8751744744262013}",30,8,-60.42125085304099,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
102,False,"{'a': 0.005, 'e': 0.8727445076457513}",30,4,-93.2903622046954,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
